#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-11-06T14:03:41 [V7.4.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-11-06T14:03:41	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=50&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-source=J/A+A/537/A146/tables&-order=I&-out=Mini&-out=track&track=track&-out=Rot&-out=Time&-out=Mass&-out=logL&-out=logTe&-out=X&-out=Y&-out=C12&-out=C13&-out=N14&-out=O16&-out=O17&-out=O18&-out=Ne20&-out=Ne22&-out=Al26&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	    IVOID of underlying data collection
#INFO	creator=Ekstrom S.	    First author or institution
#INFO	cites=bibcode:2012A&A...537A.146E	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35370146	    Dataset identifier that can be used for citation
#INFO	publication_date=2012-04-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_537_A146_tables:
#Name: J/A+A/537/A146/tables
#Title: Evolutionary tracks
#Column	Mini	(F6.2)	Initial mass	[ucd=phys.mass]
#Column	track	(a5)	Evolutionary trask for this mass	[ucd=meta.ref.url]
#Column	Rot	(A1)	[nr] r for rotation, n for no rotation	[ucd=meta.code]
#Column	Time	(E12.5)	Age	[ucd=time.age]
#Column	Mass	(F7.3)	Actual mass	[ucd=phys.mass]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
#Column	X	(F6.4)	H surface abundance (mass fraction)	[ucd=phys.abund.Fe]
#Column	Y	(F6.4)	He surface abundance (mass fraction)	[ucd=phys.abund.Y]
#Column	C12	(E9.2)	12C surface abundance (mass fraction)	[ucd=meta.note]
#Column	C13	(E9.2)	13C surface abundance (mass fraction)	[ucd=meta.note]
#Column	N14	(E9.2)	14N surface abundance (mass fraction)	[ucd=meta.note]
#Column	O16	(E9.2)	16O surface abundance (mass fraction)	[ucd=meta.note]
#Column	O17	(E9.2)	17O surface abundance (mass fraction)	[ucd=meta.note]
#Column	O18	(E9.2)	18O surface abundance (mass fraction)	[ucd=meta.note]
#Column	Ne20	(E9.2)	20Ne surface abundance (mass fraction)	[ucd=meta.note]
#Column	Ne22	(E9.2)	22Ne surface abundance (mass fraction)	[ucd=meta.note]
#Column	Al26	(E9.2)	26Al surface abundance (mass fraction)	[ucd=phys.abund]
Mini;track;Rot;Time;Mass;logL;logTe;X;Y;C12;C13;N14;O16;O17;O18;Ne20;Ne22;Al26
Msun; ; ;yr;Msun;[Lsun];[K]; ; ; ; ; ; ; ; ; ; ;
------;-----;-;------------;-------;-------;-----;------;------;---------;---------;---------;---------;---------;---------;---------;---------;---------
  0.80;track;n; 7.47839e+07;  0.800; -0.591;3.688;0.7200;0.2660; 2.28e-03; 2.77e-05; 6.59e-04; 5.72e-03; 2.27e-06; 1.29e-05; 1.88e-03; 1.52e-04; 0.00e+00
  0.80;track;n; 2.99136e+08;  0.800; -0.589;3.687;0.7207;0.2652; 2.28e-03; 2.76e-05; 6.58e-04; 5.71e-03; 2.26e-06; 1.29e-05; 1.87e-03; 1.52e-04; 0.00e+00
  0.80;track;n; 5.08530e+08;  0.800; -0.588;3.687;0.7216;0.2644; 2.27e-03; 2.76e-05; 6.56e-04; 5.69e-03; 2.26e-06; 1.28e-05; 1.87e-03; 1.51e-04; 0.00e+00
  0.80;track;n; 7.32882e+08;  0.800; -0.586;3.687;0.7226;0.2634; 2.27e-03; 2.75e-05; 6.54e-04; 5.68e-03; 2.25e-06; 1.28e-05; 1.87e-03; 1.51e-04; 0.00e+00
  0.80;track;n; 9.57234e+08;  0.800; -0.584;3.687;0.7236;0.2625; 2.26e-03; 2.74e-05; 6.53e-04; 5.67e-03; 2.24e-06; 1.28e-05; 1.86e-03; 1.50e-04; 0.00e+00
  0.80;track;n; 1.18159e+09;  0.800; -0.582;3.687;0.7245;0.2616; 2.25e-03; 2.73e-05; 6.51e-04; 5.65e-03; 2.24e-06; 1.27e-05; 1.86e-03; 1.50e-04; 0.00e+00
  0.80;track;n; 1.40594e+09;  0.800; -0.580;3.687;0.7254;0.2607; 2.25e-03; 2.72e-05; 6.49e-04; 5.64e-03; 2.23e-06; 1.27e-05; 1.85e-03; 1.50e-04; 0.00e+00
  0.80;track;n; 1.63029e+09;  0.800; -0.578;3.687;0.7264;0.2598; 2.24e-03; 2.72e-05; 6.48e-04; 5.63e-03; 2.23e-06; 1.27e-05; 1.85e-03; 1.49e-04; 0.00e+00
  0.80;track;n; 1.85464e+09;  0.800; -0.576;3.688;0.7273;0.2589; 2.24e-03; 2.71e-05; 6.46e-04; 5.61e-03; 2.22e-06; 1.26e-05; 1.84e-03; 1.49e-04; 0.00e+00
  0.80;track;n; 2.07899e+09;  0.800; -0.573;3.688;0.7282;0.2580; 2.23e-03; 2.70e-05; 6.44e-04; 5.60e-03; 2.21e-06; 1.26e-05; 1.84e-03; 1.49e-04; 0.00e+00
  0.80;track;n; 2.30334e+09;  0.800; -0.571;3.688;0.7292;0.2571; 2.22e-03; 2.69e-05; 6.43e-04; 5.59e-03; 2.21e-06; 1.26e-05; 1.84e-03; 1.48e-04; 0.00e+00
  0.80;track;n; 2.52770e+09;  0.800; -0.569;3.688;0.7301;0.2562; 2.22e-03; 2.68e-05; 6.41e-04; 5.57e-03; 2.20e-06; 1.25e-05; 1.83e-03; 1.48e-04; 0.00e+00
  0.80;track;n; 2.75205e+09;  0.800; -0.566;3.688;0.7310;0.2553; 2.21e-03; 2.68e-05; 6.39e-04; 5.56e-03; 2.20e-06; 1.25e-05; 1.83e-03; 1.47e-04; 0.00e+00
  0.80;track;n; 2.97640e+09;  0.800; -0.564;3.689;0.7319;0.2544; 2.21e-03; 2.67e-05; 6.38e-04; 5.55e-03; 2.19e-06; 1.24e-05; 1.82e-03; 1.47e-04; 0.00e+00
