spkid,full_name,name,neo,sats,H,orbit_id,e,a,q,i,om,w,tp,per,per_y,moid,moid_ld,moid_jup,t_jup,data_arc,condition_code,rms,pha,class
20000001,     1 Ceres (A801 AA),Ceres,N,0,3.34,JPL 48,0.0792,2.767,2.548,10.59,80.25,73.29,2459919.54,1680,4.6,1.58,617,2.09,3.31,9520,0,0.43153,N,MBA
20000002,     2 Pallas (A802 FA),Pallas,N,0,4.11,JPL 66,0.2304,2.77,2.132,34.92,172.91,310.89,2460010.71,1680,4.61,1.23,479,1.85,3.04,80385,0,0.35785,N,MBA
20000003,     3 Juno (A804 RA),Juno,N,0,5.18,JPL 139,0.2561,2.67,1.986,12.99,169.84,247.82,2460036.83,1590,4.36,1.04,404,2.19,3.3,80222,0,0.35432,N,MBA
20000004,     4 Vesta (A807 FA),Vesta,N,0,3.25,JPL 36,0.09,2.361,2.148,7.14,103.7,151.68,2460902.22,1330,3.63,1.14,443,2.46,3.54,25743,0,0.40095,N,MBA
20000005,     5 Astraea (A845 XA),Astraea,N,0,6.99,JPL 140,0.1873,2.576,2.094,5.36,141.46,359.26,2460438.4,1510,4.14,1.11,431,1.97,3.4,65184,0,0.48751,N,MBA
20000006,     6 Hebe (A847 NA),Hebe,N,0,5.61,JPL 116,0.2024,2.426,1.935,14.73,138.62,239.65,2461028.85,1380,3.78,0.976,380,2.63,3.44,64264,0,0.41691,N,MBA
20000007,     7 Iris (A847 PA),Iris,N,0,5.64,JPL 135,0.2299,2.386,1.838,5.52,259.5,145.52,2460769.68,1350,3.69,0.85,331,2.48,3.49,64292,0,0.39333,N,MBA
20000008,     8 Flora (A847 UA),Flora,N,0,6.61,JPL 145,0.1566,2.201,1.856,5.89,110.85,285.43,2460341.57,1190,3.27,0.873,340,2.88,3.64,64407,0,0.55102,N,MBA
20000009,     9 Metis (A848 HA),Metis,N,0,6.34,JPL 142,0.1228,2.386,2.093,5.58,68.87,5.77,2460255.06,1350,3.69,1.11,431,2.56,3.52,63860,0,0.44121,N,MBA
20000010,    10 Hygiea (A849 GA),Hygiea,N,0,5.64,JPL 120,0.1104,3.141,2.794,3.83,283.15,312.63,2459776.12,2030,5.57,1.79,695,1.54,3.2,64054,0,0.47787,N,MBA
20000011,    11 Parthenope (A850 JA),Parthenope,N,0,6.73,JPL 132,0.0994,2.453,2.209,4.63,125.51,196.07,2460321.72,1400,3.84,1.2,466,2.54,3.48,63552,0,0.36508,N,MBA
20000012,    12 Victoria (A850 RA),Victoria,N,0,7.3,JPL 148,0.2201,2.334,1.82,8.37,235.36,69.55,2460722.21,1300,3.57,0.826,321,2.42,3.52,63545,0,0.51213,N,MBA
